Dataset,Files,Strict Precision,Relaxed Precision,Support Coverage,Full %,Partial %,No Support %,Total Citations,Total Claims
"A (60, GPT-5.4)",60,0.6199,0.7804,0.295,0.6199,0.1605,0.2196,1931,6031
"B (216, GPT-5.4-mini)",216,0.5587,0.6876,0.352,0.5587,0.1289,0.3124,6107,16123
