Dataset,Mode,n,Mean Q Recall,Strict Compliance,Acceptable Compliance,Mean 1st Q Turn,Judge Failure Rate
"B (216, GPT-5.4-mini)",Supervised,108,0.8465,0.6204,0.7037,2.0288,0.0
"B (216, GPT-5.4-mini)",Naive,108,0.6298,0.4537,0.5,2.75,0.0
