Dataset,Mode,n,Mean Q Recall,Strict Compliance,Acceptable Compliance,Mean 1st Q Turn,Judge Failure Rate
"A (60, GPT-5.4)",Supervised,30,0.9917,0.9667,1.0,1.6667,0.0
"A (60, GPT-5.4)",Naive,30,0.93,0.7667,0.8667,1.4333,0.0
