Mode,Approach,Mean Hit Rate,SD Hit Rate,Mean WCR,SD WCR,n
Supervised,Bi-Enc+Entailment,0.1816,0.102,0.1862,0.1091,30
Supervised,Hungarian,0.0754,0.104,0.0634,0.0812,30
Supervised,LLM Judge,0.3561,0.1217,0.3506,0.127,30
Naive,Bi-Enc+Entailment,0.179,0.1013,0.1724,0.1054,30
Naive,Hungarian,0.0662,0.0893,0.0647,0.0846,30
Naive,LLM Judge,0.3196,0.1687,0.3166,0.1751,30
